2014-12-11 3:18:27 - PHP Notice:  Undefined variable: thisstore in /var/www/html/opencart2/view/template/catalog/purchase_form.tpl on line 56
2014-12-11 4:02:27 - PHP Notice:  Undefined index: token in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_header.php on line 144
2014-12-11 6:18:18 - PHP Notice:  Undefined index: token in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_header.php on line 144
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:31 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:34 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:34 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:46 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:42:46 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:43:27 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 143
2014-12-11 6:43:29 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 143
2014-12-11 6:43:59 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:43:59 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:43:59 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:43:59 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:43:59 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:43:59 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:43:59 - PHP Unknown:  Only variables should be passed by reference in /var/www/html/opencart2/vqmod/vqcache/vq2-controller_common_filemanager.php on line 145
2014-12-11 6:53:48 - PHP Notice:  Undefined index: purchase_product in /var/www/html/opencart2/controller/catalog/purchase.php on line 1141
2014-12-11 6:53:48 - PHP Warning:  Invalid argument supplied for foreach() in /var/www/html/opencart2/controller/catalog/purchase.php on line 1141
2014-12-11 7:25:07 - PHP Notice:  Undefined index: fullname in /var/www/html/opencart2/model/sale/order.php on line 385
2014-12-11 7:25:07 - PHP Notice:  Undefined index: customer_id in /var/www/html/opencart2/model/sale/order.php on line 460
2014-12-11 7:25:07 - PHP Notice:  Undefined index: payment_cash in /var/www/html/opencart2/model/sale/order.php on line 462
2014-12-11 7:25:07 - PHP Notice:  Undefined index: payment_visa in /var/www/html/opencart2/model/sale/order.php on line 462
2014-12-11 7:25:07 - PHP Notice:  Undefined index: payment_final in /var/www/html/opencart2/model/sale/order.php on line 462
2014-12-11 7:25:17 - PHP Notice:  Undefined index: fullname in /var/www/html/opencart2/model/sale/order.php on line 385
2014-12-11 7:25:17 - PHP Notice:  Undefined index: customer_id in /var/www/html/opencart2/model/sale/order.php on line 460
2014-12-11 7:25:17 - PHP Notice:  Undefined index: payment_cash in /var/www/html/opencart2/model/sale/order.php on line 462
2014-12-11 7:25:17 - PHP Notice:  Undefined index: payment_visa in /var/www/html/opencart2/model/sale/order.php on line 462
2014-12-11 7:25:17 - PHP Notice:  Undefined index: payment_final in /var/www/html/opencart2/model/sale/order.php on line 462
2014-12-11 7:25:17 - PHP Notice:  Undefined index: fullname in /var/www/html/opencart2/model/sale/order.php on line 385
2014-12-11 7:25:17 - PHP Notice:  Undefined index: customer_id in /var/www/html/opencart2/model/sale/order.php on line 460
2014-12-11 7:25:17 - PHP Notice:  Undefined index: payment_cash in /var/www/html/opencart2/model/sale/order.php on line 462
2014-12-11 7:25:17 - PHP Notice:  Undefined index: payment_visa in /var/www/html/opencart2/model/sale/order.php on line 462
2014-12-11 7:25:17 - PHP Notice:  Undefined index: payment_final in /var/www/html/opencart2/model/sale/order.php on line 462
2014-12-11 7:25:17 - PHP Notice:  Undefined index: fullname in /var/www/html/opencart2/model/sale/order.php on line 385
2014-12-11 7:25:17 - PHP Notice:  Undefined index: customer_id in /var/www/html/opencart2/model/sale/order.php on line 460
2014-12-11 7:25:17 - PHP Notice:  Undefined index: payment_cash in /var/www/html/opencart2/model/sale/order.php on line 462
2014-12-11 7:25:17 - PHP Notice:  Undefined index: payment_visa in /var/www/html/opencart2/model/sale/order.php on line 462
2014-12-11 7:25:17 - PHP Notice:  Undefined index: payment_final in /var/www/html/opencart2/model/sale/order.php on line 462
2014-12-11 7:44:32 - PHP Notice:  Undefined variable: store_product in /var/www/html/opencart2/model/catalog/purchase.php on line 215
2014-12-11 7:44:32 - PHP Notice:  Trying to get property of non-object in /var/www/html/opencart2/model/catalog/purchase.php on line 215
2014-12-11 7:44:44 - PHP Notice:  Undefined variable: store_product in /var/www/html/opencart2/model/catalog/purchase.php on line 215
2014-12-11 7:44:44 - PHP Notice:  Trying to get property of non-object in /var/www/html/opencart2/model/catalog/purchase.php on line 215
2014-12-11 7:44:57 - PHP Notice:  Undefined variable: store_product in /var/www/html/opencart2/model/catalog/purchase.php on line 215
2014-12-11 7:44:57 - PHP Notice:  Trying to get property of non-object in /var/www/html/opencart2/model/catalog/purchase.php on line 215
